equipo,ts,cream_step_no,entregado_cuajada_total,entregado_leche_total,entregado_quesito_total,entregado_termizada_total,entregado_yogurt_total,lp3fit01,lp3fit041,lp3le065,lp3te040,lp3te043,lp3te044,lp3te045,lp3te052,lp3te064,lp3te071,main_step_no,plan_cuajada,plan_leche,plan_quesito,plan_termizada,plan_yogurt,recibido_fit01_cuajada,recibido_fit01_leche,recibido_fit01_quesito,recibido_fit01_termizada,recibido_fit01_yogurt
pasteurizador-3,"2024-01-04T17:34:42,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.9,43.7,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:43,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.9,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:44,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:45,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.9,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:46,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:47,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:48,829",400,33460,2590,93245,53815,0,0,0,84.5,51.5,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:49,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:50,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:51,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:52,796",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:53,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:54,795",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:55,795",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:56,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:57,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:58,796",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:34:59,829",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
pasteurizador-3,"2024-01-04T17:35:00,765",400,33460,2590,93245,53815,0,0,0,84.5,51.4,40.8,43.6,51.9,31.1,25.9,37.8,155,90000,200000,200000,200000,90000,33100,2280,92280,52530,0
