equipo,ts,as1lit01,as1tit01
silo-1,"2023-11-10T01:04:15,538",47502.4,11.1
silo-1,"2023-11-10T01:04:16,571",47505.6,11.1
silo-1,"2023-11-10T01:04:17,572",47505.6,11.1
silo-1,"2023-11-10T01:04:18,571",47505.6,11.1
silo-1,"2023-11-10T01:04:19,537",47505.6,11.1
silo-1,"2023-11-10T01:04:20,538",47499.1,11.1
silo-1,"2023-11-10T01:04:21,537",47502.4,11.1
silo-1,"2023-11-10T01:04:22,572",47499.1,11.1
silo-1,"2023-11-10T01:04:23,572",47502.4,11.1
silo-1,"2023-11-10T01:04:24,572",47502.4,11.1
silo-1,"2023-11-10T01:04:25,573",47499.1,11.1
silo-1,"2023-11-10T01:04:26,539",47499.1,11.1
silo-1,"2023-11-10T01:04:27,671",47499.1,11.1
silo-1,"2023-11-10T01:04:28,572",47508.9,11.1
silo-1,"2023-11-10T01:04:29,571",47512.2,11.1
silo-1,"2023-11-10T01:04:30,571",47508.9,11.1
silo-1,"2023-11-10T01:04:31,571",47499.1,11.1
silo-1,"2023-11-10T01:04:32,572",47499.1,11.1
silo-1,"2023-11-10T01:04:33,571",47499.1,11.1
silo-1,"2023-11-10T01:04:34,571",47502.4,11.1
silo-1,"2023-11-10T01:04:35,538",47505.6,11.1
silo-1,"2023-11-10T01:04:36,572",47505.6,11.1
silo-1,"2023-11-10T01:04:37,539",47502.4,11.1
silo-1,"2023-11-10T01:04:38,570",47505.6,11.1
silo-1,"2023-11-10T01:04:39,670",47508.9,11.1
silo-1,"2023-11-10T01:04:40,571",47508.9,11.1
silo-1,"2023-11-10T01:04:41,537",47508.9,11.1
silo-1,"2023-11-10T01:04:42,571",47505.6,11.1
silo-1,"2023-11-10T01:04:43,570",47505.6,11.1
silo-1,"2023-11-10T01:04:44,538",47502.4,11.1
silo-1,"2023-11-10T01:04:45,572",47499.1,11.1
silo-1,"2023-11-10T01:04:46,570",47502.4,11.1
silo-1,"2023-11-10T01:04:47,537",47499.1,11.1
silo-1,"2023-11-10T01:04:48,571",47495.8,11.1
silo-1,"2023-11-10T01:04:49,538",47495.8,11.1
silo-1,"2023-11-10T01:04:50,571",47502.4,11.1
silo-1,"2023-11-10T01:04:51,539",47499.1,11.1
silo-1,"2023-11-10T01:04:52,537",47495.8,11.1
silo-1,"2023-11-10T01:04:53,538",47499.1,11.1
silo-1,"2023-11-10T01:04:54,570",47499.1,11.1
silo-1,"2023-11-10T01:04:55,670",47499.1,11.1
silo-1,"2023-11-10T01:04:56,570",47495.8,11.1
silo-1,"2023-11-10T01:04:57,571",47495.8,11.1
silo-1,"2023-11-10T01:04:58,572",47495.8,11.1
silo-1,"2023-11-10T01:04:59,571",47499.1,11.1
silo-1,"2023-11-10T01:05:00,572",47508.9,11.1
silo-1,"2023-11-10T01:05:01,570",47505.6,11.1
silo-1,"2023-11-10T01:05:02,571",47502.4,11.1
silo-1,"2023-11-10T01:05:03,571",47502.4,11.1
silo-1,"2023-11-10T01:05:04,570",47505.6,11.1
