equipo,ts,ly11tit01,ly11wt01
yogurtera-11,"2023-10-10T19:54:08,349",31.3,2050
yogurtera-11,"2023-10-10T19:54:09,350",31.3,2050
yogurtera-11,"2023-10-10T19:54:10,349",31.3,2060
yogurtera-11,"2023-10-10T19:54:11,350",31.3,2060
yogurtera-11,"2023-10-10T19:54:12,350",31.3,2060
yogurtera-11,"2023-10-10T19:54:13,349",31.3,2050
yogurtera-11,"2023-10-10T19:54:14,349",31.3,2050
yogurtera-11,"2023-10-10T19:54:15,349",31.3,2050
yogurtera-11,"2023-10-10T19:54:16,349",31.3,2040
yogurtera-11,"2023-10-10T19:54:17,350",31.3,2050
yogurtera-11,"2023-10-10T19:54:18,350",31.3,2040
yogurtera-11,"2023-10-10T19:54:19,349",31.2,2040
yogurtera-11,"2023-10-10T19:54:20,350",31.2,2040
yogurtera-11,"2023-10-10T19:54:21,349",31.2,2040
yogurtera-11,"2023-10-10T19:54:22,350",31.2,2040
yogurtera-11,"2023-10-10T19:54:23,349",31.2,2050
yogurtera-11,"2023-10-10T19:54:24,350",31.2,2040
yogurtera-11,"2023-10-10T20:22:55,300",31.6,1490
yogurtera-11,"2023-10-10T20:22:56,299",31.6,1490
yogurtera-11,"2023-10-10T20:22:57,300",31.6,1490
yogurtera-11,"2023-10-10T20:22:58,299",31.6,1490
yogurtera-11,"2023-10-10T20:22:59,299",31.6,1490
yogurtera-11,"2023-10-10T20:23:00,299",31.6,1490
yogurtera-11,"2023-10-10T20:23:01,300",31.6,1490
yogurtera-11,"2023-10-10T20:23:02,299",31.6,1490
yogurtera-11,"2023-10-10T20:23:03,333",31.6,1480
yogurtera-11,"2023-10-10T20:23:04,299",31.5,1490
yogurtera-11,"2023-10-10T20:23:05,300",31.6,1490
yogurtera-11,"2023-10-10T20:23:06,299",31.6,1490
yogurtera-11,"2023-10-10T20:23:07,300",31.6,1490
yogurtera-11,"2023-10-10T20:23:08,300",31.5,1490
yogurtera-11,"2023-10-10T20:23:09,300",31.6,1480
yogurtera-11,"2023-10-10T20:23:10,299",31.6,1480
yogurtera-11,"2023-10-10T20:23:11,300",31.6,1490
yogurtera-11,"2023-10-10T20:23:12,298",31.6,1490
yogurtera-11,"2023-10-10T20:23:13,299",31.5,1490
yogurtera-11,"2023-10-10T20:23:14,299",31.5,1490
yogurtera-11,"2023-10-10T20:23:15,300",31.6,1480
yogurtera-11,"2023-10-10T20:23:16,299",31.7,1480
yogurtera-11,"2023-10-10T20:23:17,300",31.7,1490
yogurtera-11,"2023-10-10T20:23:18,299",31.7,1480
yogurtera-11,"2023-10-10T20:23:19,300",31.6,1490
yogurtera-11,"2023-10-10T20:23:20,299",31.6,1480
yogurtera-11,"2023-10-10T20:23:21,333",31.6,1480
yogurtera-11,"2023-10-10T20:23:22,298",31.6,1480
yogurtera-11,"2023-10-10T20:23:23,299",31.6,1480
yogurtera-11,"2023-10-10T20:23:24,299",31.6,1490
yogurtera-11,"2023-10-10T20:23:25,298",31.6,1490
yogurtera-11,"2023-10-10T20:23:26,298",31.6,1480
yogurtera-11,"2023-10-10T20:23:27,298",31.5,1480
