clientId,timestamp,clientInitiatedDisconnect,disconnectReason,eventType,ipAddress,principalIdentifier,sessionIdentifier,versionNumber
56887a59-301d-492f-a875-4eee1a33c9f3,1710151918404,,,connected,190251108121,AROAWJU55W5FP6QPJZJZS:CognitoIdentityCredentials,0eb0fadf-9bd3-4066-81df-c345225cd18a,0
56887a59-301d-492f-a875-4eee1a33c9f3,1710151927949,false,CLIENT_INITIATED_DISCONNECT,disconnected,,AROAWJU55W5FP6QPJZJZS:CognitoIdentityCredentials,0eb0fadf-9bd3-4066-81df-c345225cd18a,0
788613f2-ae87-45a6-a77f-85f44215d7be,1704757137490,,,connected,190.14.231.111,AROAWJU55W5FP6QPJZJZS:CognitoIdentityCredentials,d0d5bd1a-5979-431e-9abe-45d4e5975243,0
788613f2-ae87-45a6-a77f-85f44215d7be,1704757298111,false,CLIENT_INITIATED_DISCONNECT,disconnected,,AROAWJU55W5FP6QPJZJZS:CognitoIdentityCredentials,d0d5bd1a-5979-431e-9abe-45d4e5975243,0
c223cc6b-4780-40ea-9791-935716ff3af2,1710002628893,,,connected,186.97.99.154,AROAWJU55W5FP6QPJZJZS:CognitoIdentityCredentials,dfc9393e-2bf9-46fc-a83f-59c7f1d59fd0,0
c223cc6b-4780-40ea-9791-935716ff3af2,1710002629743,false,CLIENT_INITIATED_DISCONNECT,disconnected,,AROAWJU55W5FP6QPJZJZS:CognitoIdentityCredentials,dfc9393e-2bf9-46fc-a83f-59c7f1d59fd0,0
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402266295,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,77102d4d-b58e-430a-9e74-fbbe5c29820d,0
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402475619,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,77102d4d-b58e-430a-9e74-fbbe5c29820d,0
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402476685,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,7803866b-b470-4320-a14a-567d33e21bab,2
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402583612,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,7803866b-b470-4320-a14a-567d33e21bab,2
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402611501,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,3a08aa80-7cc8-47f1-b5e1-9b4c8132388d,4
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402718621,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,3a08aa80-7cc8-47f1-b5e1-9b4c8132388d,4
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402731439,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,16331bb9-ecbb-4bfd-9c15-8533014410a9,6
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402837610,false,MQTT_KEEP_ALIVE_TIMEOUT,disconnected,,AIDAWJU55W5FHRGY477PP,16331bb9-ecbb-4bfd-9c15-8533014410a9,6
iotconsole-a075a250-5250-4a07-983a-b7f3d24d6979,1709402851833,,,connected,190.14.231.111,AIDAWJU55W5FHRGY477PP,9c58804e-4527-421e-9fdc-06ceb62e63d8,8
