equipo,ts,h00c01bt335,h00e21bf100,h00e51bt125,h00h51bt080,h00h51bt085,h00h61bp711,h00w01bf050,seq_step_no
esterilizador-3,"2024-01-06T16:56:58,752",108.2,21985.2,108.2,81.5,81.4,13.8,22028.6,450
esterilizador-3,"2024-01-06T16:56:59,787",108.2,21991.3,108.2,81.5,81.4,13.7,22027.4,450
esterilizador-3,"2024-01-06T16:57:00,753",108.2,21995.7,108.1,81.5,81.4,13.7,22027,450
esterilizador-3,"2024-01-06T16:57:03,754",108.1,22004.6,108.1,81.5,81.4,13.7,22024.8,450
esterilizador-3,"2024-01-06T16:57:04,753",108,22006,108,81.5,81.4,13.7,22022.5,450
esterilizador-3,"2024-01-06T16:57:07,753",108,22026.6,108,81.5,81.3,13.8,22019.2,450
esterilizador-3,"2024-01-06T16:57:11,753",107.9,22030.1,107.9,81.5,81.3,13.8,22017.1,450
esterilizador-3,"2024-01-06T16:57:13,754",107.9,22027.3,107.8,81.5,81.3,13.8,22017.3,450
esterilizador-3,"2024-01-06T16:57:16,786",107.8,22036,107.8,81.5,81.3,13.8,22015.7,450
esterilizador-3,"2024-01-06T16:57:17,753",107.7,22025.4,107.8,81.5,81.3,13.8,22014.9,450
esterilizador-3,"2024-01-06T16:57:18,752",107.7,22027.6,107.7,81.5,81.3,13.8,22013.3,450
esterilizador-3,"2024-01-06T16:57:19,754",107.7,22035.8,107.7,81.5,81.3,13.8,22012.9,450
esterilizador-3,"2024-01-06T16:57:20,786",107.7,22035.7,107.7,81.5,81.3,13.8,22011.5,450
esterilizador-3,"2024-01-06T16:57:21,753",107.6,22029.3,107.6,81.5,81.3,13.8,22008.5,450
esterilizador-3,"2024-01-06T16:57:22,752",107.6,22022.1,107.6,81.5,81.3,13.8,22006.9,450
esterilizador-3,"2024-01-06T16:57:25,754",107.6,22013.9,107.5,81.5,81.2,13.8,22002.2,450
esterilizador-3,"2024-01-06T16:57:26,752",107.6,22015.6,107.5,81.5,81.2,13.8,21999.2,450
esterilizador-3,"2024-01-06T16:57:27,752",107.5,22020.2,107.5,81.5,81.2,13.8,21996.1,450
esterilizador-3,"2024-01-06T16:57:28,752",107.5,22028.9,107.5,81.5,81.2,13.8,21990.3,450
esterilizador-3,"2024-01-06T16:57:29,752",107.5,22030.3,107.4,81.5,81.2,13.8,21987.3,450
esterilizador-3,"2024-01-06T16:57:33,753",107.4,22020.7,107.4,81.5,81.2,13.8,21981.7,450
esterilizador-3,"2024-01-06T16:57:35,754",107.3,22029.9,107.4,81.5,81.2,13.8,21981.4,450
esterilizador-3,"2024-01-06T16:57:36,752",107.3,22026,107.3,81.5,81.2,13.8,21981.7,450
esterilizador-3,"2024-01-06T16:57:37,754",107.3,22023.4,107.3,81.5,81.2,13.8,21981.9,450
