"equipo","ts","corriente_a","corriente_b","corriente_c","corriente_media","distorsion_media_total","energia_activa","energia_aparente","energia_reactiva","factor_potencia","potencia_activa","potencia_aparente","potencia_reactiva","tension_media","voltaje_ab","voltaje_bc","voltaje_ca"
"pm-2000kva","2023-10-10T18:52:47.919087","23","25.9","23.5","24.2","159.9","240566.4","358203.8","260980.9","1.2","16.6","20.2","'-11.5","482.8","483.8","483.3","481.5"
"pm-2000kva","2023-10-10T18:52:48.918342","23.4","26.4","23.9","25","160","240566.4","358203.8","260980.9","1.2","17.1","21","'-12.1","482.9","483.8","483.3","481.5"
"pm-2000kva","2023-10-10T18:52:49.918697","23.4","26.3","23.6","24.5","159.7","240566.4","358203.8","260980.9","1.2","16.6","20.5","'-12","482.8","483.7","483.3","481.4"
"pm-2000kva","2023-10-10T18:52:50.918346","24","27","24.4","25.1","159.8","240566.4","358203.8","260980.9","1.2","17.1","21","'-12.2","482.8","483.7","483.2","481.4"
"pm-2000kva","2023-10-10T18:52:51.918629","23","26","23.5","24.1","159.7","240566.4","358203.8","260980.9","1.2","16.5","20.2","'-11.6","482.7","483.6","483.2","481.4"
"pm-2000kva","2023-10-10T18:52:52.919237","23.9","26.9","24.1","25.2","159.6","240566.4","358203.8","260980.9","1.2","17.3","21.1","'-12","482.7","483.7","483.1","481.4"
"pm-2000kva","2023-10-10T18:52:53.918961","23.2","26.2","23.7","24.9","159.6","240566.4","358203.8","260980.9","1.2","16.5","20.9","'-12.7","482.7","483.8","483.2","481.4"
"pm-2000kva","2023-10-10T18:52:54.951953","23.9","26.8","24.4","25","159.6","240566.4","358203.8","260980.9","1.2","17.1","20.9","'-12.1","482.7","483.6","483.1","481.4"
"pm-2000kva","2023-10-10T18:52:55.919225","23.2","26.2","23.6","24.3","159.6","240566.4","358203.8","260980.9","1.2","16.5","20.4","'-11.9","482.6","483.5","483.1","481.2"
"pm-2000kva","2023-10-10T18:52:56.985612","23.5","26.4","24.1","24.6","159.7","240566.4","358203.8","260980.9","1.2","17.1","20.6","'-11.5","482.6","483.5","483","481.2"
"pm-2000kva","2023-10-10T18:52:57.918310","23.9","26.8","24.1","24.9","159.6","240566.4","358203.8","260980.9","1.2","16.6","20.9","'-12.6","482.5","483.4","483","481.2"
"pm-2000kva","2023-10-10T18:52:58.985651","23.9","26.9","24.3","24.4","159.5","240566.4","358203.8","260980.9","1.2","17.1","20.4","'-11.2","482.3","483.4","482.8","481"
"pm-2000kva","2023-10-10T18:52:59.951779","23.2","26.2","23.7","24.4","159.5","240566.4","358203.9","260980.9","1.2","16.6","20.4","'-11.8","482.6","483.5","483","481.2"
"pm-2000kva","2023-10-10T18:53:00.919113","23.7","26.7","24.4","24.9","159.5","240566.4","358203.9","260980.9","1.2","17.1","20.9","'-12","482.7","483.6","483.1","481.3"
"pm-2000kva","2023-10-10T18:53:01.953172","23.8","26.7","24","24.8","159.9","240566.4","358203.9","260980.9","1.2","16.6","20.8","'-12.4","482.7","483.6","483.1","481.3"
"pm-2000kva","2023-10-10T18:53:02.919124","23.9","26.8","24.1","24.5","159.5","240566.4","358203.9","260980.9","1.2","17.1","20.5","'-11.3","482.5","483.5","482.9","481.2"
"pm-2000kva","2023-10-10T18:53:03.953002","23.2","26.2","23.6","24.9","159.3","240566.5","358203.9","260980.9","1.2","16.6","20.9","'-12.6","482.6","483.6","483","481.2"
"pm-2000kva","2023-10-10T18:53:04.918500","23.9","26.9","24.4","25.1","159.3","240566.5","358203.9","260980.9","1.2","17.1","21","'-12.2","482.6","483.6","483","481.2"
"pm-2000kva","2023-10-10T18:53:06.918494","23.3","26.3","24","24.6","159.4","240566.5","358203.9","260980.9","1.2","17","20.5","'-11.5","482.8","483.8","483.2","481.5"
"pm-2000kva","2023-10-10T18:53:07.918151","23.1","26","23.6","24.9","159.4","240566.5","358203.9","260980.9","1.2","16.6","20.9","'-12.6","482.7","483.7","483.2","481.4"
